id,product_unit_id,event_id,risk_score,reason,feature_values,model_version,created_at
263,253,185,27.75,Missing intermediate custody event,"{""scan_velocity_kmh"":258.0,""supplier_risk_tier"":""low"",""temp_excursion_c"":81.07,""gps_deviation_km"":369.17,""reseller_risk_score"":0.171}",prov-risk-v1.2.0,2024-03-24 02:29:00+00
264,153,185,18.71,Packaging hash does not match reference image,"{""checksum_valid"":false,""temp_excursion_c"":180.9,""label_print_delta_days"":-10,""packaging_hash_similarity"":0.386,""scan_velocity_kmh"":481.8}",prov-risk-v1.2.0,2024-06-23 17:07:47+00
265,105,231,40.83,Missing intermediate custody event,"{""scan_velocity_kmh"":267.84,""time_since_last_event_hrs"":476.2,""custody_gap_count"":6,""reseller_risk_score"":0.671}",,2024-04-28 18:43:39+00
266,141,203,28.84,GPS location inconsistent with declared origin,"{""label_print_delta_days"":22,""scan_velocity_kmh"":349.05,""supplier_risk_tier"":""medium"",""custody_gap_count"":2}",prov-risk-v2.0.1,2025-07-12 22:24:26+00
267,136,36,9.64,Model version confidence below acceptance threshold,"{""gps_deviation_km"":483.65,""custody_gap_count"":5,""time_since_last_event_hrs"":534.5,""temp_excursion_c"":58.92,""packaging_hash_similarity"":0.404}",,2025-06-14 21:09:44+00
268,205,173,18.57,Scan velocity exceeds physically plausible threshold,"{""custody_gap_count"":0,""time_since_last_event_hrs"":665.7,""checksum_valid"":true,""supplier_risk_tier"":""high"",""temp_excursion_c"":1.55}",prov-risk-v2.0.1,2024-12-31 21:40:59+00
269,296,110,27.38,Scan velocity exceeds physically plausible threshold,"{""checksum_valid"":false,""packaging_hash_similarity"":0.899,""gps_deviation_km"":371.5}",,2025-08-14 18:38:06+00
270,148,,70.38,Model version confidence below acceptance threshold,"{""gps_deviation_km"":106.54,""supplier_risk_tier"":""low"",""custody_gap_count"":2,""label_print_delta_days"":-24}",prov-risk-v1.2.0,2026-06-02 21:32:20+00
271,41,265,83.86,Supplier flagged for prior counterfeiting incident,"{""scan_velocity_kmh"":223.44,""label_print_delta_days"":2,""time_since_last_event_hrs"":42.6}",prov-risk-v2.0.0-beta,2026-07-05 21:56:50+00
272,285,17,82.74,GPS location inconsistent with declared origin,"{""checksum_valid"":true,""custody_gap_count"":1,""temp_excursion_c"":278.3,""time_since_last_event_hrs"":590.7,""supplier_risk_tier"":""medium""}",,2026-06-16 04:04:52+00
273,275,115,2.84,RFID tag read at two distant locations simultaneously,"{""reseller_risk_score"":0.274,""temp_excursion_c"":44.76,""gps_deviation_km"":56.19,""supplier_risk_tier"":""medium""}",prov-risk-v2.0.1,2026-07-03 14:21:46+00
274,210,29,96.13,Supplier flagged for prior counterfeiting incident,"{""gps_deviation_km"":226.98,""label_print_delta_days"":13,""time_since_last_event_hrs"":633.9,""checksum_valid"":false}",prov-risk-v1.1.2,2025-06-14 18:44:44+00
275,98,,75.96,Duplicate unit ID detected across regions,"{""label_print_delta_days"":20,""checksum_valid"":true}",,2025-02-16 14:32:49+00
276,104,152,94.83,Model version confidence below acceptance threshold,"{""gps_deviation_km"":102.82,""temp_excursion_c"":6.51}",,2026-09-05 23:08:27+00
277,276,182,56.54,Supplier flagged for prior counterfeiting incident,"{""custody_gap_count"":1,""gps_deviation_km"":345.66,""scan_velocity_kmh"":210.51,""temp_excursion_c"":14.69}",prov-risk-v2.1.0,2025-12-07 21:43:28+00
278,53,79,88.43,Label print date precedes factory commission date,"{""temp_excursion_c"":238.12,""packaging_hash_similarity"":0.822}",prov-risk-v1.1.2,2024-06-18 02:48:37+00
279,271,261,35.38,Unusual gap between manufacture and first scan event,"{""custody_gap_count"":6,""supplier_risk_tier"":""high"",""reseller_risk_score"":0.726}",prov-risk-v1.1.2,2025-11-09 08:34:39+00
280,69,,72.79,Weight variance outside tolerance for declared SKU,"{""scan_velocity_kmh"":101.98,""packaging_hash_similarity"":0.573,""gps_deviation_km"":456.94,""checksum_valid"":false,""supplier_risk_tier"":""medium""}",prov-risk-v2.0.1,2026-05-19 06:48:38+00
281,237,106,,Batch code does not match registered production run,"{""reseller_risk_score"":0.878,""gps_deviation_km"":472.41,""supplier_risk_tier"":""medium"",""custody_gap_count"":3}",prov-risk-v2.0.1,2026-06-28 14:24:12+00
282,226,292,5.38,Label print date precedes factory commission date,"{""reseller_risk_score"":0.692,""checksum_valid"":false,""label_print_delta_days"":8}",prov-risk-v1.1.2,2024-07-02 21:56:49+00
283,255,33,80.0,Temperature excursion detected during transit,"{""reseller_risk_score"":0.634,""checksum_valid"":true}",prov-risk-v1.1.2,2024-05-25 17:00:52+00
284,103,20,40.2,Temperature excursion detected during transit,"{""supplier_risk_tier"":""medium"",""reseller_risk_score"":0.041}",prov-risk-v2.0.0-beta,2024-01-29 07:22:13+00
285,246,54,88.23,GPS location inconsistent with declared origin,"{""time_since_last_event_hrs"":443.4,""supplier_risk_tier"":""medium"",""packaging_hash_similarity"":0.106}",,2025-08-15 19:50:41+00
286,2,,,Duplicate unit ID detected across regions,"{""scan_velocity_kmh"":307.54,""supplier_risk_tier"":""medium""}",prov-risk-v2.0.0-beta,2024-01-12 20:32:56+00
287,287,13,50.7,Anomalous reseller account activity,"{""gps_deviation_km"":491.65,""checksum_valid"":true,""reseller_risk_score"":0.546}",prov-risk-v1.2.0,2024-05-26 01:43:42+00
288,45,52,27.4,Packaging hash does not match reference image,"{""time_since_last_event_hrs"":138.3,""label_print_delta_days"":-25,""temp_excursion_c"":37.5,""reseller_risk_score"":0.114}",prov-risk-v2.1.0,2026-07-19 03:33:26+00
289,110,234,92.38,Origin country mismatch with declared manufacturer,"{""gps_deviation_km"":358.34,""scan_velocity_kmh"":15.31,""supplier_risk_tier"":""high""}",prov-risk-v1.1.2,2025-10-31 04:24:12+00
290,29,151,70.65,Unit re-entered supply chain after terminal event,"{""temp_excursion_c"":47.36,""scan_velocity_kmh"":221.44,""packaging_hash_similarity"":0.981,""checksum_valid"":false}",,2026-08-25 20:55:50+00
291,167,128,,Weight variance outside tolerance for declared SKU,"{""temp_excursion_c"":271.99,""checksum_valid"":false}",,2025-05-25 15:07:25+00
292,1,123,79.46,Weight variance outside tolerance for declared SKU,"{""gps_deviation_km"":212.5,""scan_velocity_kmh"":168.48,""temp_excursion_c"":32.13}",prov-risk-v1.0.0,2025-12-12 12:43:25+00
293,83,28,53.84,Cross-border movement without customs event,"{""checksum_valid"":false,""packaging_hash_similarity"":0.755}",prov-risk-v1.0.0,2025-02-08 04:34:30+00
294,221,91,61.43,Missing intermediate custody event,"{""reseller_risk_score"":0.961,""checksum_valid"":true,""temp_excursion_c"":345.57,""time_since_last_event_hrs"":150.6}",prov-risk-v1.2.0,2026-08-18 11:14:06+00
295,73,35,30.39,Duplicate unit ID detected across regions,"{""supplier_risk_tier"":""low"",""scan_velocity_kmh"":180.75}",prov-risk-v1.1.2,2026-05-15 17:36:59+00
296,58,262,27.35,Anomalous reseller account activity,"{""gps_deviation_km"":197.39,""custody_gap_count"":5,""supplier_risk_tier"":""high""}",prov-risk-v1.1.2,2025-11-22 04:06:53+00
297,49,236,83.23,Unusual gap between manufacture and first scan event,"{""checksum_valid"":false,""gps_deviation_km"":138.82,""packaging_hash_similarity"":0.01,""reseller_risk_score"":0.19,""time_since_last_event_hrs"":651.5}",prov-risk-v1.1.2,2026-06-30 20:16:27+00
298,160,93,48.14,Serial number checksum mismatch,"{""custody_gap_count"":2,""gps_deviation_km"":7.41,""checksum_valid"":true,""scan_velocity_kmh"":468.03,""reseller_risk_score"":0.355}",prov-risk-v2.0.1,2024-09-30 21:59:50+00
299,71,129,16.62,GPS location inconsistent with declared origin,"{""time_since_last_event_hrs"":671.2,""custody_gap_count"":0,""reseller_risk_score"":0.224}",prov-risk-v1.1.2,2024-12-06 05:38:50+00
300,197,124,47.18,Unusual gap between manufacture and first scan event,"{""gps_deviation_km"":418.21,""reseller_risk_score"":0.235}",prov-risk-v1.0.0,2026-01-04 03:22:18+00
